FCID,LON,LAT,B3,B4,B5,ASPTR,DEM,TPI450,ANNPRE,SLPPCT,SMRTMP,SMRVP,SERIES
36704,-120.2421504,48.89442932,0.347731907,0.35903835,0.152877086,0.873653149,2259.143044,-10.27523526,1121.0,24.27272727,1153.090909,74061.81818,30
36705,-120.24104380000001,48.89396239,0.430829639,0.440257286,0.172950861,0.604565213,2299.3882949999997,20.75750178,1148.0,21.18181818,1072.909091,72098.18182,30
36706,-120.2376352,48.89464521,0.5256936010000001,0.5763375820000001,0.21766290800000002,0.500964465,2308.91543,24.27138672,1151.0,40.0,1064.0,71880.0,30
36707,-120.2236774,48.88748189,0.43454342799999995,0.461564553,0.183324075,0.050974982,1971.397229,-39.15473633,1079.0,17.2,1205.5,76160.0,30
36708,-120.21015690000002,48.88379919,0.404070236,0.41903429999999997,0.20364304800000002,0.278284963,1926.519298,-12.47248979,1056.0,27.90909091,1243.0,77160.0,30
36709,-120.21107690000001,48.88026743,0.328036173,0.341150986,0.156338781,1.994180588,1911.383889,-25.51571378,1056.0,21.63636364,1243.0,77160.0,30
36713,-120.41271880000001,48.29235457,0.343841547,0.41361425700000004,0.158024321,0.597040683,2188.884677,-19.10455877,1635.0,14.45454545,1025.0,73440.0,30
36714,-120.4139423,48.29267871,0.5135555829999999,0.561383152,0.245257959,0.742560707,2220.449512,-3.0981933589999997,1607.1,32.8,1073.3,74628.0,30
36715,-120.41078370000001,48.28982784,0.360437932,0.3746384,0.149077724,1.919119526,2180.554732,-19.8869407,1635.0,32.36363636,1025.0,73440.0,30
36716,-120.4167692,48.29331776,0.529767372,0.560215657,0.252299318,1.337238409,2301.796076,68.54097124,1542.0,20.72727273,1186.0,77400.0,30
36717,-120.89005949999999,48.72997038,0.237936283,0.29238538,0.148959557,0.6213233979999999,1610.441484,1.2532626070000001,1537.0,16.45454545,1450.5,83800.0,22
36718,-120.19518570000001,48.95796027,0.40058174700000004,0.43899886899999996,0.145187585,0.050691953,2128.119775,-18.9140625,1092.4,9.1,1166.9,73544.0,30
36720,-120.19841000000001,48.95601435,0.20835638199999998,0.276778724,0.11198242800000001,1.9238761309999999,2137.247714,9.01953125,1077.0,8.272727273,1207.5,75000.0,30
36721,-120.2034509,48.95406758,0.286792958,0.334809068,0.116925431,0.244424234,2101.43062,-0.814297763,1077.0,19.27272727,1207.5,75000.0,30
36722,-120.21189440000002,48.95821251,0.38538987,0.44372624200000005,0.144614562,1.333671284,2113.378223,-11.07875977,1081.0,9.0,1188.0,73920.0,30
36730,-120.2724708,48.91096794,0.359831579,0.384762829,0.15371932,0.022713881000000002,1896.5896,-17.42437744,1037.0,14.41666667,1299.0,76640.0,30
36735,-120.2810752,48.88397332,0.488420546,0.48948509100000004,0.22927045399999998,1.380678649,1770.2102539999998,-45.58604736,1020.0,20.1,1393.5,80240.0,30
36740,-120.0839281,48.84711399,0.35528675299999996,0.382976841,0.151192519,0.113331172,2265.959828,28.73424183,1103.0,22.27272727,1087.0,75000.0,30
36741,-120.12050420000001,48.85828203,0.355123291,0.383173582,0.160711782,0.509293902,1953.2154679999999,-27.55293783,1039.0,12.88888889,1268.5,79440.0,30
36744,-120.14363130000001,48.88244916,0.371413971,0.389651586,0.172039391,1.61049848,2009.534557,-4.479414506,1055.0,5.909090909,1226.0,77520.0,30
36750,-120.01100819999999,48.93192073,0.33455323,0.363039315,0.16481313,1.892144927,2057.591968,15.54770508,985.0,6.0,1252.0,79040.0,30
36751,-120.0108979,48.93010945,0.427263049,0.46573669799999995,0.231666917,0.52984578,2063.320401,26.89850408,985.0,6.3636363639999995,1252.0,79040.0,30
36752,-120.0170803,48.9290186,0.324394993,0.347994539,0.172725725,0.939507918,2075.577792,35.21112615,985.0,12.36363636,1252.0,79040.0,30
36757,-120.2129842,48.98351227,0.284268435,0.32737003,0.12984842,1.93185871,2142.081624,15.11505127,1120.0,9.166666667000001,1112.5,71240.0,30
36758,-120.21142169999999,48.98358249,0.28870814,0.32040698100000004,0.11608882300000001,1.723239316,2133.280407,5.74667081,1120.0,17.45454545,1112.5,71240.0,30
36759,-120.2098047,48.98219356,0.400245677,0.441154854,0.172383917,1.65959663,2155.7630059999997,3.737304688,1120.0,4.818181818,1112.5,71240.0,30
36764,-120.2543327,48.95819659,0.304483615,0.338022294,0.133499607,1.860139693,2177.325724,7.080708822,1082.333333,18.66666667,1182.291667,71680.0,30
36765,-120.2504601,48.95804935,0.244736898,0.274026632,0.12422880900000001,1.970074977,2135.355136,7.697110263,1055.363636,8.0,1248.4545449999998,74392.72727,30
36770,-120.2191743,48.92951676,0.385182353,0.404145549,0.142085421,0.154265228,2027.7678019999998,-29.67059326,1079.0,20.5,1219.0,76440.0,30
36771,-120.21869099999999,48.932807200000006,0.32447751,0.33880845299999995,0.14318082699999998,0.316466531,2042.479082,-14.52738814,1079.0,27.36363636,1219.0,76440.0,30
36772,-120.22196640000001,48.93039372,0.39977001100000004,0.41825981,0.150916667,1.977077094,2018.4750980000001,-31.95386852,1079.0,30.72727273,1219.0,76440.0,30
36773,-120.21273049999999,48.92092179,0.42631684700000005,0.44662126399999996,0.189829634,1.148881051,1991.0396280000002,-25.95719771,1067.0,23.72727273,1245.0,76840.0,30
36776,-120.1812719,48.92145193,0.450489795,0.491523274,0.169169735,1.205736478,2159.2969420000004,-9.204767401,1115.181818,13.36363636,1071.590909,72112.72727,30
36777,-120.179348,48.92070327,0.485515061,0.513735576,0.197183093,1.262654677,2132.7159309999997,2.683038885,1129.0,20.09090909,1050.5,71880.0,30
36787,-120.4875646,48.7428325,0.260132272,0.292008655,0.116783985,0.524999525,1945.642389,-24.96923828,1204.0,33.45454545,1278.5,76240.0,30
36788,-120.4849952,48.74035576,0.345615964,0.379460278,0.163186486,0.038738625,2041.476463,40.64757191,1204.0,29.09090909,1278.5,76240.0,30
36798,-120.41374760000001,48.69861539,0.19902107300000002,0.228553489,0.089570703,1.41852952,2168.881547,26.3943315,1232.0,29.36363636,1168.0,74840.0,30
36799,-120.415522,48.69635186,0.355548364,0.392632449,0.17432066100000002,0.009130151999999999,2140.766577,39.49006348,1232.0,24.7,1168.0,74840.0,30
36814,-120.5823977,48.62477762,0.41194907299999994,0.41775503799999997,0.149988204,0.886690868,1576.279806,-34.09864299,1209.0,22.41666667,1493.0,85360.0,23
36816,-120.58521100000002,48.59427271,0.129783586,0.181890477,0.08031354,0.739190153,1192.964122,-1.3033336290000002,1046.0,26.09090909,1890.5,92480.0,22
36820,-120.57420479999999,48.52415104,0.25266451100000004,0.307096487,0.236117575,0.9360456079999999,1654.281653,-33.25653076,1273.0,15.5,1435.0,81080.0,23
36822,-120.5872087,48.51842376,0.201109415,0.242781329,0.076901921,1.715939527,1684.48667,-36.32796631,1288.0,11.1,1426.5,81040.0,23
36834,-120.54459170000001,48.54689808,0.430530846,0.486873037,0.19612692,1.734594983,1996.3989620000002,35.44057617,1296.0,36.5,1331.0,77640.0,23
36835,-120.5594491,48.54679093,0.542567465,0.53256456,0.18397157,1.5449666869999998,2137.918188,-44.53383789,1382.0,19.5,1163.0,72120.0,30
36849,-120.8070533,48.66446192,0.284852433,0.343099681,0.15844065,0.184593229,1357.561991,-44.52420044,1384.0,18.25,1568.0,88720.0,22
36850,-120.808493,48.67009438,0.300457686,0.36832549299999995,0.149872981,0.045430501,1506.400085,4.112084961,1384.0,32.4,1568.0,88720.0,22
36853,-120.6499381,48.52757582,0.17139880100000002,0.22497941100000002,0.067892505,0.11869517199999999,1696.219316,-16.87290261,1330.0,9.545454545,1411.5,81200.0,22
36856,-120.85109720000001,48.7063532,0.20550943600000002,0.24825059800000002,0.098661724,0.994362341,1466.990088,42.97279053,1341.0,25.7,1697.5,91800.0,23
36857,-120.79452690000001,48.71336334,0.186486548,0.24683656199999998,0.081342775,0.26263183100000004,1092.684094,-48.87230225,1269.0,23.4,1759.75,94600.0,22
36861,-120.78399340000001,48.63155911,0.36123933799999997,0.3928056,0.127712572,0.232094863,1922.386084,-2.032849121,1548.0,28.5,1212.5,75640.0,30
36862,-120.7877345,48.63353807,0.25676571600000003,0.303571679,0.131170355,0.39938904799999997,1778.7883,8.080703735,1472.0,28.875,1398.0,83120.0,23
36863,-120.79172820000001,48.64217958,0.22072006800000002,0.276933169,0.131563243,0.27415184600000003,1526.268408,-28.30701904,1435.0,22.3,1480.5,86320.0,22
36865,-120.65444140000001,48.57636944,0.1770622,0.239476663,0.073843449,1.804224111,1655.312134,42.86132813,1263.0,27.0,1539.0,85280.0,23
36867,-120.6407784,48.57948149,0.205783503,0.252700644,0.151133749,1.89787691,1306.3215890000001,-54.91097745,1187.0,26.54545455,1668.5,87640.0,23
36868,-120.7342584,48.57038251,0.231720431,0.295055868,0.151446677,1.2412221559999999,1522.184559,-31.45972789,1391.0,11.90909091,1474.0,84280.0,22
36871,-120.739957,48.57178968,0.26850646100000003,0.35460422399999997,0.199292983,0.521570268,1531.504218,-46.11573622,1391.0,19.44444444,1474.0,84280.0,22
36872,-120.7442767,48.528949600000004,0.18605707300000002,0.25684762,0.064527212,0.05034382,1384.073785,-23.112264,1359.0,10.55555556,1555.5,86120.0,23
36873,-120.725904,48.53479597,0.151358974,0.221042834,0.08499161,1.156620906,1655.17021,-22.003273699999998,1385.0,18.81818182,1465.0,83800.0,22
36874,-120.7328788,48.530300200000006,0.163195499,0.21038720100000002,0.063995152,0.358275277,1624.117243,31.17441628,1366.909091,29.81818182,1525.181818,85338.18182,22
36875,-120.7313334,48.52516757,0.129497776,0.18783219199999998,0.057515617000000005,0.611751804,1586.2956140000001,-5.974636502,1342.0,23.44444444,1584.0,86800.0,22
36878,-120.8162878,48.60351134,0.143025279,0.235382856,0.09271313,0.136341644,1102.902577,-3.88659668,1325.0,8.272727273,1735.5,91720.0,22
36879,-120.8220001,48.6019093,0.142593889,0.196619054,0.07107004,1.958610591,1180.12753,6.2566472829999995,1360.727273,16.54545455,1694.227273,91338.18182,22
36881,-120.6662388,48.52216636,0.152569324,0.207808837,0.061085394,1.1957355509999998,1682.550635,-12.85839844,1361.6,8.9,1376.3,79600.0,23
36882,-120.7765623,48.5727188,0.164704614,0.227098159,0.073748255,0.022616134,1350.0984,-13.70689808,1424.0,26.72727273,1470.5,84720.0,22
36883,-120.78227,48.56713384,0.159761719,0.212866267,0.075291216,0.242984053,1172.288839,-8.061340332,1303.0,5.166666667,1751.5,91680.0,22
