PLTID,ANNPRE,ANNTMP,AUGMAXT,DECMINT,SMRTP,LAT,LON,ASPTR,DEM,PRR,SLPPCT,TPI150,TPI300,TPI450,TC1,TC2,TC3,NBR
153832,645,1120,3077,-137,363,4241,-12257,175,635,15728,5,0,2,2,2838,869,-1343,271
153853,732,1011,2748,-30,288,4338,-12272,100,892,16751,14,2,6,10,2003,1332,-595,617
153855,759,736,2224,-212,216,4358,-12261,37,1391,18693,28,-5,-15,-73,1891,1600,-240,764
153876,723,912,2722,-194,276,4323,-12235,192,1085,15676,9,2,15,51,1928,1895,-53,862
153879,779,863,2483,-150,240,4427,-12241,1,1000,15901,10,-10,-15,-29,2951,1289,-1575,333
153897,758,986,2715,-28,287,4411,-12234,3,737,13727,37,-16,-20,12,3219,980,-2198,148
153899,774,982,2716,-30,278,4405,-12252,199,693,8132,60,12,4,-9,2188,1478,-698,640
153905,749,973,2469,2,264,4486,-12268,38,379,15142,15,0,-6,0,2821,720,-1739,149
153907,727,843,2702,-254,267,4294,-12249,0,1281,17864,36,-1,-2,-37,1595,1262,-345,736
153923,715,1136,2927,20,319,4318,-12303,25,426,16057,8,9,17,13,1846,1544,-223,779
153943,735,662,2410,-440,232,4448,-12176,93,1265,16992,9,0,-6,-9,2217,1339,-899,521
153953,738,520,2295,-567,214,4283,-12215,142,1815,15718,9,-5,-21,-31,1705,569,-1297,133
153967,776,795,2208,-132,216,4491,-12247,14,998,12791,6,10,40,77,3423,1182,-2067,224
153969,691,1121,3159,-230,382,4099,-12171,191,1004,10171,24,9,42,50,1392,1102,-375,698
153980,755,1003,2676,-52,274,4441,-12241,199,473,7744,64,-31,-16,-19,1477,1133,-441,727
153989,705,504,2366,-604,226,4312,-12203,9,1974,19572,31,5,6,19,2578,590,-2018,36
153991,748,423,2083,-750,195,4402,-12166,71,1965,13427,27,3,7,12,1463,817,-401,553
154009,697,721,2563,-580,293,4152,-12150,0,1743,17572,5,0,0,0,1610,808,-1134,278
154030,694,1134,3059,-52,346,4304,-12270,156,588,10416,26,-14,-28,-23,1868,1548,-383,738
154033,704,1072,2848,-31,316,4308,-12283,44,971,17352,21,7,22,38,1810,1476,-192,783
154036,742,1024,2796,-43,286,4378,-12228,116,704,10073,29,-14,-45,-77,1596,1369,-152,788
154042,748,1061,2620,53,278,4471,-12261,2,224,16495,2,0,-2,-14,1805,1499,-338,756
154044,728,631,2420,-476,236,4274,-12228,6,1721,14553,15,7,23,42,1704,643,-1159,209
154094,709,1102,2719,81,307,4451,-12296,178,209,8067,27,-29,-36,-23,1560,1211,-751,771
154125,715,1126,2757,97,305,4442,-12275,100,153,16390,2,-2,-3,-4,3209,1237,-2458,208
154129,645,1034,2821,-120,351,4219,-12259,64,1081,13402,41,0,-4,22,2362,914,-1221,295
154133,744,506,2353,-633,196,4328,-12222,0,1694,18049,19,0,-3,-5,1659,849,-840,407
154152,698,320,2099,-785,191,4293,-12203,200,2330,13911,11,4,9,20,2722,124,-1403,31
154176,632,945,2834,-299,352,4167,-12229,63,1393,16070,13,-5,-11,0,2430,359,-1624,50
154178,715,637,2442,-512,234,4432,-12173,173,1358,15866,10,0,-2,-2,2247,1142,-869,429
154217,734,950,2712,-109,269,4363,-12227,22,894,15992,31,-7,-20,-36,1951,1662,-58,863
154235,709,1184,2712,145,322,4552,-12244,100,61,16397,0,0,0,0,383,17,-270,565
154247,646,962,2898,-321,346,4210,-12251,1,962,15990,38,0,-18,-46,2331,1282,-1057,452
154264,695,1168,2799,129,338,4485,-12317,100,47,16511,0,0,0,0,4282,1239,-1777,364
154270,692,982,2855,-277,360,4119,-12174,100,1323,17292,1,0,-2,-3,2285,1206,-1122,396
154282,708,1105,2695,70,305,4387,-12282,147,330,17012,13,3,10,20,2790,2708,-24,868
154288,715,1126,2759,98,309,4434,-12292,21,151,16387,13,-4,-16,-30,2840,1239,-2302,237
154293,766,1022,2668,-41,272,4407,-12270,173,432,14671,9,2,1,-8,2259,2705,-43,828
154302,694,630,2417,-470,243,4180,-12215,195,2054,14508,17,0,-6,-20,1475,802,-760,353
154304,762,940,2631,-66,276,4439,-12224,1,725,18294,75,2,54,52,2174,1893,-150,822
154335,718,1089,2717,56,301,4372,-12294,17,361,15974,25,3,-3,-1,2115,2009,-603,726
154439,725,1043,2697,32,288,4354,-12275,152,785,6467,66,13,55,122,1341,1124,-230,753
154493,692,865,2621,-336,317,4548,-12156,157,600,15222,21,1,0,5,2545,1610,-928,513
154526,626,1034,3100,-373,384,4197,-12220,26,962,19626,37,0,3,19,2775,963,-2012,179
154528,762,628,2138,-352,209,4527,-12187,37,1243,9962,28,12,11,35,1379,1162,-63,827
154563,720,778,2678,-391,262,4291,-12232,100,1340,16480,5,0,1,0,1485,1142,-489,601
154602,722,557,2432,-593,213,4309,-12215,20,1678,15676,7,2,1,0,1550,633,-1041,246
154604,732,380,2179,-729,180,4313,-12222,11,2006,19075,29,-5,-3,2,2238,713,-1831,130
154657,746,1118,2805,92,303,4335,-12307,74,550,12132,30,11,9,0,1324,1036,-323,708
154740,685,928,2841,-370,355,4134,-12176,124,1396,16919,1,1,1,1,2887,521,-2192,6
